from,to,weight
50178,38513,1
32007,24678,1
32007,59155,1
47432,23502,1
24317,79521,1
24449,37496,1
77726,6640,1
58398,71790,1
32007,80355,1
77726,77730,1
32007,83969,1
48186,82779,1
77726,77723,1
77726,77724,1
77726,9669,1
48186,71777,1
47346,13391,1
83650,2396,1
83650,2453,1
61143,2424,1
61143,6460,1
84752,83741,1
32007,79495,1
32007,83409,1
32007,84702,1
48500,84986,1
57706,2396,1
42950,24317,1
85405,24317,1
77726,85374,1
58398,85374,1
32007,85374,1
85551,73505,1
77668,85434,1
85482,50844,1
72489,21054,1
72489,43597,1
72489,6976,1
72489,15081,1
72489,15344,1
72489,1561,1
72489,2476,1
42617,82803,1
32007,85415,1
81153,2296,1
52930,2450,1
32007,86824,1
44487,52101,1
24317,71480,1
86090,75389,1
86090,2413,1
86090,2511,1
32007,86149,1
32007,57719,1
32007,82678,1
32007,86918,1
58398,86226,1
78974,82117,1
52930,2491,1
86101,6976,1
86101,2468,1
11758,86824,1
86972,3123,1
86972,1561,1
86972,2557,1
86972,15291,1
86972,48248,1
52930,3922,1
32007,86899,1
52930,2434,1
52930,2400,1
52930,2470,1
32007,87142,1
82813,4740,1
86972,2406,1
86972,87367,1
2296,87823,1
88213,59830,1
82813,2396,1
2296,74607,1
16452,87367,1
32007,87342,1
32007,88403,1
16452,88150,1
16452,63854,1
88589,24317,1
88213,7538,1
88590,24317,1
12682,24317,1
64317,24317,1
9222,24317,1
85793,24317,1
42950,2393,1
16452,48467,1
32007,48467,1
16452,83535,1
42950,2396,1
88213,48014,1
88592,24317,1
88213,1676,1
88213,36785,1
15303,48014,1
16452,88371,1
58398,88336,1
32007,88958,1
