id,Color,Platform
49457,#8b1f41,asu
60608,#fa3927,cornell
43300,#fa3927,cornell
60490,#18453b,msu
53046,#e87500,utdallas
60642,#9e1b34,temple
55774,#18453b,msu
60671,#cc0000,bu
52646,#18453b,msu
18245,#8b1f41,asu
60681,#8b1f41,asu
16586,#8b1f41,asu
60716,#74b1de,columbia
54815,#74b1de,columbia
16631,#8b1f41,asu
50555,#cc0000,bu
48182,#74b1de,columbia
59854,#8b1f41,asu
59732,#9e1b34,temple
14076,#fa3927,cornell
38523,#8b1f41,asu
60555,#fa3927,cornell
60806,#e87500,utdallas
60629,#9e1b34,temple
60816,#71002e,umt
13860,#0e529a,depaul
60699,#0e529a,depaul
45406,#9e1b34,temple
57469,#18453b,msu
60844,#8b1f41,asu
60853,#f56600,clemson
60750,#f56600,clemson
49573,#01235d,ucsd
36675,#990000,usc
60862,#0e529a,depaul
60821,#9e1b34,temple
60866,#f56600,clemson
24660,#f56600,clemson
56367,#8b1f41,asu
61003,#01235d,ucsd
62814,#bf5700,utexas
77730,#fa3927,cornell
77731,#fa3927,cornell
60944,#74b1de,columbia
62179,#002a5c,utoronto
61896,#861f41,vt
60956,#9e1b34,temple
61219,#861f41,vt
61919,#861f41,vt
60278,#FFFFFF,NALL
77732,#fa3927,cornell
62839,#18453b,msu
61677,#861f41,vt
68482,#861f41,vt
62211,#861f41,vt
77733,#fa3927,cornell
64066,#8b1f41,asu
77734,#fa3927,cornell
60720,#74b1de,columbia
61694,#861f41,vt
62214,#861f41,vt
51894,#9e1b34,temple
58620,#8b1f41,asu
72317,#74b1de,columbia
77736,#fa3927,cornell
77452,#003091,ie
63122,#861f41,vt
68433,#f56600,clemson
68515,#01235d,ucsd
77738,#fa3927,cornell
78350,#003091,ie
77684,#fa3927,cornell
73641,#0e529a,depaul
70281,#e87500,utdallas
61221,#861f41,vt
2637,#fa3927,cornell
60053,#07294d,baiada
71172,#00764a,bcc
73796,#fec52e,kennesaw
71724,#2774ae,ucla
62933,#bf5700,utexas
71213,#861f41,vt
71738,#2774ae,ucla
72466,#2774ae,ucla
60979,#011a47,ucsf
73846,#8b1f41,asu
75844,#469ed9,umanitoba
43863,#FFFFFF,NALL
72011,#bf5700,utexas
77337,#003091,ie
60577,#8b1f41,asu
63969,#bf5700,utexas
40620,#990000,usc
59740,#9e1b34,temple
60937,#990000,usc
60946,#74b1de,columbia
60945,#74b1de,columbia
60184,#000000,forest
21541,#fa3927,cornell
40007,#fa3927,cornell
77688,#fa3927,cornell
39623,#8b1f41,asu
77436,#003091,ie
77368,#003091,ie
77392,#003091,ie
77363,#003091,ie
77388,#003091,ie
50851,#74b1de,columbia
61135,#ffb300,vcu
64189,#044a8f,baruch
77687,#fa3927,cornell
60659,#fdca21,bowiestate
50836,#74b1de,columbia
60655,#fdca21,bowiestate
17213,#0e529a,depaul
60976,#f1b82d,missouri
52548,#e87500,utdallas
35095,#fa3927,cornell
60692,#e87500,utdallas
53044,#e87500,utdallas
36784,#0e529a,depaul
36849,#f2c413,ucf
44823,#1f395a,evanstonnu
54590,#74b1de,columbia
73844,#0c69d5,cgiu
77686,#fa3927,cornell
77321,#003091,ie
64318,#fa3927,cornell
25494,#74b1de,columbia
49118,#fa3927,cornell
60657,#fdca21,bowiestate
61104,#ffb300,vcu
61120,#8b1f41,asu
61048,#f04f23,utrgv
60855,#74b1de,columbia
61099,#4b2e83,washington
61154,#fa3927,cornell
44972,#74b1de,columbia
25074,#fa3927,cornell
49991,#990000,usc
61433,#97d700,elevate217
69537,#861f41,vt
77685,#fa3927,cornell
70368,#74b1de,columbia
77434,#003091,ie
61202,#00549f,erau
61204,#990000,usc
57569,#fdca21,bowiestate
61188,#9e1b34,temple
45181,#9e1b34,temple
61279,#990000,usc
59730,#2b1a5e,rihub
52891,#f58220,utep
61333,#8b1f41,asu
44897,#74b1de,columbia
43439,#fa3927,cornell
61428,#18453b,msu
61094,#000000,forest
61464,#e87500,utdallas
60790,#fa3927,cornell
58351,#8b1f41,asu
52219,#18453b,msu
61944,#861f41,vt
52392,#e87500,utdallas
61920,#01235d,ucsd
60990,#8b1f41,asu
77442,#003091,ie
69488,#e87500,utdallas
69655,#e87500,utdallas
69523,#e87500,utdallas
62323,#840028,morehouse
77419,#003091,ie
54202,#74b1de,columbia
62157,#4b2e83,washington
62111,#861f41,vt
58408,#a50000,bradley
56126,#861f41,vt
49559,#01235d,ucsd
62245,#fec52e,kennesaw
61926,#fdca21,bowiestate
63164,#01235d,ucsd
62801,#8b1f41,asu
58379,#a50000,bradley
77352,#003091,ie
77381,#003091,ie
77439,#003091,ie
77820,#fa3927,cornell
62326,#fec52e,kennesaw
62698,#fa3927,cornell
62200,#8b1f41,asu
61220,#861f41,vt
77690,#fa3927,cornell
62381,#fec52e,kennesaw
62274,#fec52e,kennesaw
61376,#ffb300,vcu
61370,#ffb300,vcu
57340,#18453b,msu
61106,#fdca21,bowiestate
60651,#cc0000,bu
62589,#f56600,clemson
62506,#990000,usc
62799,#ba2025,osu
59039,#fdca21,bowiestate
61277,#18453b,msu
57621,#8b1f41,asu
61271,#8b1f41,asu
63006,#ba2025,osu
16578,#8b1f41,asu
62999,#00764a,bcc
60919,#8b1f41,asu
62924,#a50000,bradley
77689,#fa3927,cornell
77410,#003091,ie
62815,#ba2025,osu
42626,#74b1de,columbia
62496,#fec52e,kennesaw
63190,#74b1de,columbia
63384,#e87500,utdallas
55817,#990000,usc
61953,#0051bb,bmcc
50158,#990000,usc
63508,#8b1f41,asu
3489,#fa3927,cornell
63263,#f2c413,ucf
62650,#f56600,clemson
62537,#e87500,utdallas
63537,#e87500,utdallas
28950,#990000,usc
52845,#8b1f41,asu
63020,#005393,st-andrews
60723,#8b1f41,asu
24317,#fa3927,cornell
36646,#FFFFFF,NALL
7197,#fa3927,cornell
63753,#f56600,clemson
63735,#e87500,utdallas
46906,#bf5700,utexas
63457,#0051bb,bmcc
16614,#8b1f41,asu
63767,#fdca21,bowiestate
50488,#f2c413,ucf
61454,#8b1f41,asu
16647,#8b1f41,asu
63796,#8b1f41,asu
63986,#ba2025,osu
14627,#fa3927,cornell
62425,#f2c413,ucf
44149,#9e1b34,temple
63998,#861f41,vt
21572,#8b1f41,asu
63000,#00764a,bcc
64120,#fdca21,bowiestate
63653,#990000,usc
63862,#b01f24,unlv
77315,#003091,ie
49973,#e87500,utdallas
63944,#fa3927,cornell
62336,#8b1f41,asu
64263,#e87500,utdallas
64303,#005393,st-andrews
49975,#74b1de,columbia
28860,#8b1f41,asu
62378,#861f41,vt
62206,#861f41,vt
43042,#990000,usc
64240,#f2c413,ucf
24578,#990000,usc
63823,#bf5700,utexas
48704,#430b00,rowan
60461,#f2c413,ucf
29249,#cc0000,bu
63049,#e87500,utdallas
47030,#8b1f41,asu
64390,#fdca21,bowiestate
61962,#044a8f,baruch
62448,#8b1d41,bcblp
68196,#fa3927,cornell
64301,#005393,st-andrews
68288,#005393,st-andrews
42466,#fa3927,cornell
61222,#861f41,vt
42350,#fa3927,cornell
64213,#044a8f,baruch
63949,#18453b,msu
68223,#005393,st-andrews
68239,#f56600,clemson
61513,#8b1f41,asu
68352,#990000,usc
53198,#990000,usc
68460,#74b1de,columbia
17406,#8b1f41,asu
56680,#e87500,utdallas
51713,#e87500,utdallas
68562,#fec52e,kennesaw
16927,#18453b,msu
68659,#03458f,csn
63689,#74b1de,columbia
64143,#e87500,utdallas
62747,#8b1f41,asu
33154,#f2c413,ucf
64200,#044a8f,baruch
68822,#07294d,baiada
68819,#990000,usc
68676,#74b1de,columbia
63212,#a50000,bradley
63755,#a50000,bradley
63542,#f56600,clemson
64217,#044a8f,baruch
68582,#a50000,bradley
53288,#e87500,utdallas
68798,#bf5700,utexas
63706,#e87500,utdallas
64209,#044a8f,baruch
68281,#f2c413,ucf
62723,#f56600,clemson
64448,#bf5700,utexas
64164,#044a8f,baruch
64160,#044a8f,baruch
68146,#044a8f,baruch
16641,#8b1f41,asu
64167,#044a8f,baruch
69177,#0051bb,bmcc
69250,#fdca21,bowiestate
68585,#fdca21,bowiestate
69279,#9e1b34,temple
48028,#9e1b34,temple
63311,#e87500,utdallas
59990,#74b1de,columbia
50617,#8b1f41,asu
53045,#e87500,utdallas
64153,#044a8f,baruch
53914,#74b1de,columbia
69307,#fdca21,bowiestate
69296,#044a8f,baruch
54079,#74b1de,columbia
63733,#ff610d,syracuse
35513,#07294d,baiada
69327,#8b1f41,asu
69370,#0e529a,depaul
61954,#0051bb,bmcc
60624,#74b1de,columbia
68841,#990000,usc
62280,#0e529a,depaul
68474,#74b1de,columbia
68784,#005393,st-andrews
68160,#9e1b34,temple
69381,#861f41,vt
69123,#9e1b34,temple
69382,#861f41,vt
52472,#8b1f41,asu
69446,#e87500,utdallas
69486,#e87500,utdallas
62504,#fa3927,cornell
69487,#e87500,utdallas
69485,#e87500,utdallas
64188,#044a8f,baruch
68619,#005393,st-andrews
68301,#e87500,utdallas
64159,#044a8f,baruch
68936,#0e529a,depaul
58936,#469ed9,umanitoba
69435,#8b1d41,bcblp
69449,#e87500,utdallas
69519,#fdca21,bowiestate
68641,#e87500,utdallas
69692,#fdca21,bowiestate
61289,#bf5700,utexas
43001,#fa3927,cornell
69426,#a50000,bradley
52384,#fa3927,cornell
63273,#e87500,utdallas
68579,#a50000,bradley
69959,#044a8f,baruch
61489,#bf5700,utexas
68580,#a50000,bradley
68584,#a50000,bradley
69534,#e87500,utdallas
63213,#bf5700,utexas
68570,#0e529a,depaul
70014,#03458f,csn
44059,#9e1b34,temple
57101,#18453b,msu
69076,#18453b,msu
49351,#01235d,ucsd
61292,#bf5700,utexas
76571,#bf5700,utexas
60959,#2774ae,ucla
63403,#e87500,utdallas
69095,#861f41,vt
70197,#00549f,erau
62845,#8b1d41,bcblp
68671,#fa3927,cornell
69811,#861f41,vt
68583,#a50000,bradley
62973,#a50000,bradley
68951,#18453b,msu
69647,#e87500,utdallas
70297,#8b1d41,bcblp
69325,#9e1b34,temple
70331,#8b1d41,bcblp
