from,to,weight,Color1,Title1
57139,57143,1,#8b1f41,asu
52304,52983,1,#74b1de,columbia
50034,57157,1,#18453b,msu
47262,57007,1,#f2c413,ucf
56858,17407,1,#8b1f41,asu
17378,56967,1,#8b1f41,asu
55160,57573,1,#9e1b34,temple
58378,44452,1,#9e1b34,temple
55493,52905,1,#e87500,utdallas
57143,57140,1,#8b1f41,asu
52304,53020,1,#74b1de,columbia
47262,32388,1,#f2c413,ucf
23973,2002,1,#4b2e83,washington
49717,52562,1,#01235d,ucsd
49717,52350,1,#01235d,ucsd
57242,51374,1,#18453b,msu
57242,53303,1,#18453b,msu
55360,58222,1,#18453b,msu
37911,58575,1,#469ed9,umanitoba
57363,48248,1,#fa3927,cornell
55493,52486,1,#e87500,utdallas
52304,53274,1,#74b1de,columbia
55493,52485,1,#e87500,utdallas
55493,52798,1,#e87500,utdallas
52983,52923,1,#74b1de,columbia
23973,28385,1,#4b2e83,washington
37911,56745,1,#469ed9,umanitoba
57363,43458,1,#fa3927,cornell
28374,57278,1,#8b1f41,asu
58513,25501,1,#900026,iona
47223,57118,1,#18453b,msu
55493,52548,1,#e87500,utdallas
28374,17399,1,#8b1f41,asu
55493,52167,1,#e87500,utdallas
10646,14803,1,#fa3927,cornell
52983,34975,1,#74b1de,columbia
45785,30948,1,#f2c413,ucf
16988,17407,1,#8b1f41,asu
28374,25406,1,#8b1f41,asu
53069,57573,1,#9e1b34,temple
49537,21450,1,#4b2e83,washington
29613,51053,1,#fa3927,cornell
55479,45188,1,#9e1b34,temple
42130,56786,1,#9e1b34,temple
30533,50869,1,#f2c413,ucf
41655,24533,1,#fa3927,cornell
58778,58801,1,#003091,ie
58778,58785,1,#003091,ie
58875,58850,1,#003091,ie
58778,58998,1,#003091,ie
58807,58825,1,#003091,ie
58807,58771,1,#003091,ie
58807,58823,1,#003091,ie
58825,58766,1,#003091,ie
58807,58806,1,#003091,ie
58998,58755,1,#003091,ie
58807,58836,1,#003091,ie
58780,58781,1,#003091,ie
58778,58761,1,#003091,ie
58807,58847,1,#003091,ie
58780,37276,1,#003091,ie
58807,37276,1,#003091,ie
58807,58835,1,#003091,ie
49562,49903,1,#01235d,ucsd
57163,30533,1,#f2c413,ucf
45193,57162,1,#9e1b34,temple
49464,49615,1,#8b1f41,asu
49464,16650,1,#8b1f41,asu
56787,46766,1,#fdca21,bowiestate
23973,4737,1,#4b2e83,washington
16452,55967,1,#fa3927,cornell
49464,49616,1,#8b1f41,asu
58875,58854,1,#003091,ie
58778,58829,1,#003091,ie
51361,57195,1,#01235d,ucsd
41655,57995,1,#fa3927,cornell
58778,58838,1,#003091,ie
58799,58808,1,#003091,ie
58998,58756,1,#003091,ie
17012,8139,1,#fa3927,cornell
51000,56787,1,#fdca21,bowiestate
51000,57078,1,#fdca21,bowiestate
13838,17012,1,#ffffff,null
57009,52945,1,#00549f,erau
30948,32388,1,#f2c413,ucf
57037,16653,1,#8b1f41,asu
